-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::flatten_dense_tensors         0.01%     170.000us         0.04%     620.000us      77.500us       0.000us         0.00%      32.000us       4.000us           0 b           0 b      20.00 Kb           0 b             8  
                                             aten::mul_         0.01%      93.000us         0.01%     180.000us      18.000us      31.000us         0.06%      31.000us       3.100us           0 b           0 b           0 b           0 b            10  
void dot_kernel<float, 128, 0, cublasDotParams<cubla...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.06%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.000us         0.06%      29.000us       2.417us           0 b           0 b           0 b           0 b            12  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      28.000us         0.06%      28.000us       7.000us           0 b           0 b           0 b           0 b             4  
                                             aten::log_         0.00%      44.000us         0.01%      93.000us      15.500us      27.000us         0.05%      27.000us       4.500us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.000us         0.05%      27.000us       4.500us           0 b           0 b           0 b           0 b             6  
                                             aten::sub_         0.01%     110.000us         0.01%     193.000us      19.300us      26.000us         0.05%      26.000us       2.600us           0 b           0 b           0 b           0 b            10  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.05%      24.000us       4.000us           0 b           0 b           0 b           0 b             6  
void reduce_1Block_kernel<float, 128, 7, cublasGemvT...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.05%      24.000us       4.000us           0 b           0 b           0 b           0 b             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.05%      24.000us       6.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.05%      24.000us       4.000us           0 b           0 b           0 b           0 b             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.05%      24.000us       4.000us           0 b           0 b           0 b           0 b             6  
                                              aten::div         0.01%     156.000us         0.01%     238.000us      29.750us      21.000us         0.04%      21.000us       2.625us           0 b           0 b       4.00 Kb       4.00 Kb             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.04%      20.000us       3.333us           0 b           0 b           0 b           0 b             6  
                                               aten::eq         0.01%     116.000us         0.01%     203.000us      33.833us      19.000us         0.04%      19.000us       3.167us           0 b           0 b       3.00 Kb       3.00 Kb             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.04%      19.000us       3.167us           0 b           0 b           0 b           0 b             6  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.04%      18.000us       1.125us           0 b           0 b           0 b           0 b            16  
                                             aten::item         0.06%       1.113ms         0.64%      11.148ms      11.399us       0.000us         0.00%      17.000us       0.017us           0 b           0 b           0 b           0 b           978  
                              aten::_local_scalar_dense         0.02%     298.000us         0.57%      10.069ms      10.296us      15.000us         0.03%      17.000us       0.017us           0 b           0 b           0 b           0 b           978  
void gemvNSP_kernel<__half, __half, __half, float, 1...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.03%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
void cask_cudnn::computeOffsetsKernel<true, false>(c...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.03%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
cask_cudnn::computeBOffsetsKernel(cask_cudnn::Comput...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.03%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
                                       aten::reciprocal         0.00%      73.000us         0.01%     131.000us      32.750us      16.000us         0.03%      16.000us       4.000us           0 b           0 b       2.00 Kb       2.00 Kb             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.03%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.03%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.03%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.03%      16.000us       4.000us           0 b           0 b           0 b           0 b             4  
void gemmk1_kernel<int, float, 256, 5, false, false,...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.03%      15.000us       3.750us           0 b           0 b           0 b           0 b             4  
                               aten::_amp_update_scale_         0.00%      55.000us         0.01%     116.000us      29.000us      15.000us         0.03%      15.000us       3.750us           0 b           0 b           0 b           0 b             4  
at::native::amp_update_scale_cuda_kernel(float*, int...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000us         0.03%      15.000us       3.750us           0 b           0 b           0 b           0 b             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.000us         0.03%      13.000us       3.250us           0 b           0 b           0 b           0 b             4  
                                              aten::sub         0.00%      58.000us         0.01%     101.000us      16.833us      12.000us         0.02%      12.000us       2.000us           0 b           0 b       3.00 Kb       3.00 Kb             6  
                                             aten::full         0.00%      29.000us         0.01%     146.000us      36.500us       0.000us         0.00%      12.000us       3.000us           0 b           0 b       2.00 Kb           0 b             4  
                                              aten::add         0.00%      53.000us         0.01%      89.000us      22.250us      12.000us         0.02%      12.000us       3.000us           0 b           0 b       2.00 Kb       2.00 Kb             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.02%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
      autograd::engine::evaluate_function: MulBackward0         0.00%      70.000us         0.02%     310.000us      77.500us       0.000us         0.00%      10.000us       2.500us           0 b           0 b       2.00 Kb           0 b             4  
                                           MulBackward0         0.00%      53.000us         0.01%     240.000us      60.000us       0.000us         0.00%      10.000us       2.500us           0 b           0 b       2.00 Kb           0 b             4  
      autograd::engine::evaluate_function: DivBackward0         0.00%      29.000us         0.01%     136.000us      34.000us       0.000us         0.00%       9.000us       2.250us         -32 b         -32 b           0 b      -2.00 Kb             4  
                                           DivBackward0         0.00%      15.000us         0.01%     107.000us      26.750us       0.000us         0.00%       9.000us       2.250us           0 b           0 b       2.00 Kb           0 b             4  
                                        aten::ones_like         0.00%      18.000us         0.01%     138.000us      34.500us       0.000us         0.00%       8.000us       2.000us           0 b           0 b       2.00 Kb           0 b             4  
                                             aten::div_         0.00%      50.000us         0.00%      71.000us      17.750us       8.000us         0.02%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%      39.000us         0.00%      39.000us       3.900us       7.000us         0.01%       7.000us       0.700us           0 b           0 b           0 b           0 b            10  
                                  cudaStreamSynchronize         0.03%     539.000us         0.03%     539.000us      17.967us       5.000us         0.01%       5.000us       0.167us           0 b           0 b           0 b           0 b            30  
                                    aten::empty_strided         0.15%       2.591ms         0.15%       2.712ms       4.826us       0.000us         0.00%       3.000us       0.005us      10.71 Kb      10.71 Kb     220.97 Mb     220.97 Mb           562  
                                         cudaEventQuery         0.02%     268.000us         0.02%     268.000us       2.602us       3.000us         0.01%       3.000us       0.029us           0 b           0 b           0 b           0 b           103  
                                         nccl:broadcast         0.00%       0.000us             0      13.405ms       1.341ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                            aten::empty         0.21%       3.742ms         0.22%       3.807ms       3.060us       0.000us         0.00%       0.000us       0.000us       6.76 Kb       6.76 Kb     860.09 Mb     860.09 Mb          1244  
                                          aten::random_         0.00%      30.000us         0.00%      30.000us       7.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        69.13%        1.213s        72.56%        1.273s     127.268ms       0.000us         0.00%       0.000us       0.000us      16.48 Mb      -7.08 Kb           0 b           0 b            10  
                                         aten::randperm         1.99%      34.946ms         3.99%      69.902ms       8.738ms       0.000us         0.00%       0.000us       0.000us       3.12 Kb         -32 b           0 b           0 b             8  
                                    aten::scalar_tensor         0.00%      14.000us         0.00%      14.000us       3.500us       0.000us         0.00%       0.000us       0.000us          32 b          32 b           0 b           0 b             4  
                                          aten::resize_         0.00%       1.000us         0.00%       1.000us       0.125us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                     aten::resolve_conj         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                         aten::uniform_         0.12%       2.067ms         0.12%       2.067ms       2.691us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           768  
                                             aten::rand         0.04%     737.000us         0.06%       1.059ms       8.273us       0.000us         0.00%       0.000us       0.000us         512 b          48 b           0 b           0 b           128  
                                               aten::lt         0.11%       1.859ms         0.23%       4.099ms      32.023us       0.000us         0.00%       0.000us       0.000us         312 b        -252 b           0 b           0 b           128  
                                       aten::is_nonzero         0.01%     191.000us         0.02%     341.000us       2.664us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128  
                                       aten::lift_fresh         0.02%     320.000us         0.02%     320.000us       0.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           384  
                                             aten::view         0.08%       1.433ms         0.08%       1.433ms       3.317us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           432  
                                          aten::permute         0.08%       1.465ms         0.10%       1.696ms       8.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192  
                                       aten::as_strided         0.02%     363.000us         0.02%     363.000us       0.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           646  
                                          aten::detach_         0.03%     452.000us         0.03%     530.000us       2.760us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192  
                                                detach_         0.00%      87.000us         0.00%      87.000us       0.453us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192  
                                            aten::stack         0.03%     539.000us         0.62%      10.854ms     904.500us       0.000us         0.00%       0.000us       0.000us      16.48 Mb           0 b           0 b           0 b            12  
                                           aten::narrow         0.38%       6.639ms         0.39%       6.886ms     104.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            66  
                                            aten::slice         0.01%     259.000us         0.02%     270.000us       4.091us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            66  
                                        aten::unsqueeze         0.02%     334.000us         0.02%     349.000us       1.745us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                     Optimizer.zero_grad#Adam.zero_grad         0.02%     428.000us         0.02%     428.000us     107.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -14.94 Mb     -14.94 Mb             4  
                                   cudaEventElapsedTime         0.00%      47.000us         0.00%      47.000us       2.938us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                          aten::reshape         0.00%      76.000us         0.01%     116.000us       3.412us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            34  
                                       aten::empty_like         0.02%     300.000us         0.05%     830.000us       9.432us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     710.43 Mb     648.00 Kb            88  
                                          aten::flatten         0.00%      22.000us         0.00%      49.000us       8.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                                aten::t         0.01%     143.000us         0.02%     276.000us       6.273us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44  
                                        aten::transpose         0.01%     107.000us         0.01%     130.000us       2.955us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44  
                                           aten::expand         0.00%      24.000us         0.00%      31.000us       5.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                          aten::squeeze         0.00%      48.000us         0.00%      49.000us       8.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
autograd::engine::evaluate_function: SqueezeBackward...         0.00%      26.000us         0.00%      72.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                       SqueezeBackward1         0.00%      13.000us         0.00%      46.000us      11.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
        autograd::engine::evaluate_function: TBackward0         0.00%      32.000us         0.00%      79.000us       9.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                             TBackward0         0.00%      11.000us         0.00%      47.000us       5.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                        torch::autograd::AccumulateGrad         0.01%     218.000us         0.02%     423.000us       4.406us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96  
                                           aten::detach         0.01%     113.000us         0.02%     275.000us       2.696us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           102  
                                                 detach         0.01%     167.000us         0.01%     167.000us       1.637us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           102  
                                        nccl:all_reduce         0.00%       0.000us             0     538.000us      67.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
     autograd::engine::evaluate_function: ViewBackward0         0.00%      16.000us         0.00%      44.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          ViewBackward0         0.00%       9.000us         0.00%      28.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                      aten::result_type         0.00%       1.000us         0.00%       1.000us       0.002us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           480  
                                  nccl:_all_gather_base         0.00%       0.000us             0       1.163ms      72.688us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                          aten::unflatten_dense_tensors         0.01%     230.000us         0.04%     658.000us      82.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                  cudaDeviceSynchronize         0.00%      53.000us         0.00%      53.000us      53.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.754s
Self CUDA time total: 49.147ms
