-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::max_pool2d         0.01%     134.000us         0.05%     962.000us      32.067us       0.000us         0.00%       1.880ms      62.667us           0 b           0 b     502.93 Mb     -52.58 Mb            30  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us       1.876ms         3.82%       1.876ms      62.533us           0 b           0 b           0 b           0 b            30  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.857ms         3.78%       1.857ms      61.900us           0 b           0 b           0 b           0 b            30  
sm70_xmma_wgrad_implicit_gemm_indexed_wo_smem_f16f16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.414ms         2.88%       1.414ms     353.500us           0 b           0 b           0 b           0 b             4  
ncclKernel_AllGather_RING_LL_Sum_int8_t(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us       1.352ms         2.75%       1.352ms      84.500us           0 b           0 b           0 b           0 b            16  
cudnn_volta_fp16_s884cudnn_fp16_256x64_ldg8_relu_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.346ms         2.74%       1.346ms     112.167us           0 b           0 b           0 b           0 b            12  
                                       aten::clamp_min_         0.02%     409.000us         0.04%     756.000us      18.000us       1.269ms         2.58%       1.269ms      30.214us           0 b           0 b           0 b           0 b            42  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     112.000us         0.04%     685.000us      28.542us       0.000us         0.00%       1.257ms      52.375us           0 b           0 b    -302.30 Mb    -606.42 Mb            24  
                               aten::threshold_backward         0.02%     281.000us         0.03%     454.000us      18.917us       1.253ms         2.55%       1.257ms      52.375us           0 b           0 b     301.59 Mb     301.59 Mb            24  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.253ms         2.55%       1.253ms      52.208us           0 b           0 b           0 b           0 b            24  
                                            aten::relu_         0.02%     430.000us         0.06%       1.085ms      30.139us       0.000us         0.00%       1.249ms      34.694us           0 b           0 b           0 b           0 b            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.249ms         2.54%       1.249ms      34.694us           0 b           0 b           0 b           0 b            36  
                                          ReluBackward0         0.01%     119.000us         0.03%     557.000us      23.208us       0.000us         0.00%       1.244ms      51.833us           0 b           0 b     301.59 Mb       2.53 Mb            24  
                                    cudaStreamWaitEvent         0.01%      92.000us         0.01%      92.000us       0.541us       1.048ms         2.13%       1.048ms       6.165us           0 b           0 b           0 b           0 b           170  
                                              aten::sum         0.04%     778.000us         0.08%       1.414ms      37.211us     954.000us         1.94%       1.011ms      26.605us           0 b           0 b      19.00 Kb      15.00 Kb            38  
cudnn_volta_fp16_scudnn_fp16_128x32_relu_small_nn_v1...         0.00%       0.000us         0.00%       0.000us       0.000us     859.000us         1.75%     859.000us     143.167us           0 b           0 b           0 b           0 b             6  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     840.000us         1.71%     840.000us      35.000us           0 b           0 b           0 b           0 b            24  
                               Optimizer.step#Adam.step         0.89%      15.695ms         1.10%      19.227ms       4.807ms       0.000us         0.00%     825.000us     206.250us           0 b           0 b           0 b     -15.20 Mb             4  
                                       cudaLaunchKernel         0.48%       8.333ms         0.48%       8.333ms       7.832us     824.000us         1.68%     824.000us       0.774us           0 b           0 b           0 b           0 b          1064  
sm70_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us     683.000us         1.39%     683.000us     170.750us           0 b           0 b           0 b           0 b             4  
sm70_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us     675.000us         1.37%     675.000us     168.750us           0 b           0 b           0 b           0 b             4  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<__half, float...         0.00%       0.000us         0.00%       0.000us       0.000us     650.000us         1.32%     650.000us      65.000us           0 b           0 b           0 b           0 b            10  
                                            aten::fill_         0.01%     226.000us         0.03%     496.000us      14.588us     610.000us         1.24%     613.000us      18.029us           0 b           0 b           0 b           0 b            34  
                                              aten::mul         0.06%       1.020ms         0.10%       1.757ms      15.973us     343.000us         0.70%     587.000us       5.336us           0 b           0 b       7.00 Kb       7.00 Kb           110  
                            cudaStreamGetCaptureInfo_v2         0.00%      24.000us         0.00%      24.000us       0.706us     580.000us         1.18%     580.000us      17.059us           0 b           0 b           0 b           0 b            34  
                                            aten::zero_         0.00%      60.000us         0.02%     292.000us      14.600us       0.000us         0.00%     575.000us      28.750us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     572.000us         1.16%     572.000us      28.600us           0 b           0 b           0 b           0 b            20  
                   torch::distributed::reducer::mul_out         0.01%     146.000us         0.08%       1.422ms      14.812us       0.000us         0.00%     538.000us       5.604us         -48 b         -48 b           0 b           0 b            96  
                                           aten::linear         0.01%     179.000us         1.27%      22.210ms     925.417us       0.000us         0.00%     493.000us      20.542us           0 b           0 b       6.11 Mb           0 b            24  
sm70_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us     485.000us         0.99%     485.000us      60.625us           0 b           0 b           0 b           0 b             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     471.000us         0.96%     471.000us       5.011us           0 b           0 b           0 b           0 b            94  
                                          aten::dropout         1.10%      19.334ms         1.15%      20.168ms     840.333us       0.000us         0.00%     448.000us      18.667us           0 b           0 b     155.11 Mb           0 b            24  
                                   aten::native_dropout         0.02%     378.000us         0.05%     834.000us      52.125us     444.000us         0.90%     448.000us      28.000us           0 b           0 b     155.11 Mb    -648.00 Kb            16  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us     444.000us         0.90%     444.000us      27.750us           0 b           0 b           0 b           0 b            16  
void cudnn::bn_bw_1C11_kernel_new<__half, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us     417.000us         0.85%     417.000us     104.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     407.000us         0.83%     407.000us       2.482us           0 b           0 b           0 b           0 b           164  
autograd::engine::evaluate_function: NativeDropoutBa...         0.01%     106.000us         0.03%     536.000us      33.500us       0.000us         0.00%     360.000us      22.500us           0 b           0 b     -52.39 Mb    -155.71 Mb            16  
                                 NativeDropoutBackward0         0.00%      47.000us         0.02%     430.000us      26.875us       0.000us         0.00%     360.000us      22.500us           0 b           0 b     103.33 Mb           0 b            16  
                          aten::native_dropout_backward         0.01%     149.000us         0.02%     383.000us      23.938us     360.000us         0.73%     360.000us      22.500us           0 b           0 b     103.33 Mb           0 b            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     360.000us         0.73%     360.000us      22.500us           0 b           0 b           0 b           0 b            16  
void cudnn::ops::nhwcToNchwKernel<__half, __half, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     348.000us         0.71%     348.000us       9.158us           0 b           0 b           0 b           0 b            38  
void cutlass_cudnn::Kernel<cutlass_cudnn::conv::kern...         0.00%       0.000us         0.00%       0.000us       0.000us     347.000us         0.71%     347.000us      43.375us           0 b           0 b           0 b           0 b             8  
sm70_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us     333.000us         0.68%     333.000us      55.500us           0 b           0 b           0 b           0 b             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     329.000us         0.67%     329.000us       4.569us           0 b           0 b           0 b           0 b            72  
cudnn_volta_fp16_s884cudnn_fp16_256x64_ldg8_dgrad_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     327.000us         0.67%     327.000us      81.750us           0 b           0 b           0 b           0 b             4  
cudnn_volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     323.000us         0.66%     323.000us      53.833us           0 b           0 b           0 b           0 b             6  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%      74.000us         0.11%       1.897ms      31.617us       0.000us         0.00%     319.000us       5.317us           0 b           0 b       7.77 Mb      -8.17 Mb            60  
void cutlass_cudnn::Kernel<cutlass_cudnn::conv::kern...         0.00%       0.000us         0.00%       0.000us       0.000us     309.000us         0.63%     309.000us      77.250us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     297.000us         0.60%     297.000us       3.031us           0 b           0 b           0 b           0 b            98  
     torch.distributed.ddp.reducer::copy_bucket_to_grad         0.01%     132.000us         0.06%       1.063ms      11.073us       0.000us         0.00%     279.000us       2.906us           0 b           0 b           0 b           0 b            96  
                 aten::binary_cross_entropy_with_logits         1.09%      19.128ms         2.35%      41.158ms       6.860ms       0.000us         0.00%     274.000us      45.667us           0 b           0 b       3.00 Kb     -15.00 Kb             6  
                                        ToCopyBackward0         0.02%     304.000us         0.09%       1.596ms      26.600us       0.000us         0.00%     274.000us       4.567us           0 b           0 b      15.02 Mb      -1.08 Mb            60  
                                  cudaStreamGetPriority         0.00%       5.000us         0.00%       5.000us       0.043us     256.000us         0.52%     256.000us       2.207us           0 b           0 b           0 b           0 b           116  
                                  cudaStreamIsCapturing         0.00%      46.000us         0.00%      46.000us       0.271us     229.000us         0.47%     229.000us       1.347us           0 b           0 b           0 b           0 b           170  
void cudnn::bn_fw_tr_1C11_kernel_NCHW<__half, float,...         0.00%       0.000us         0.00%       0.000us       0.000us     221.000us         0.45%     221.000us      55.250us           0 b           0 b           0 b           0 b             4  
    autograd::engine::evaluate_function: AddmmBackward0         0.01%     142.000us         0.06%       1.021ms     127.625us       0.000us         0.00%     208.000us      26.000us           0 b           0 b     -30.00 Kb      -5.07 Mb             8  
                                            aten::addmm         0.58%      10.164ms         0.60%      10.487ms     873.917us     192.000us         0.39%     192.000us      16.000us           0 b           0 b      51.00 Kb      51.00 Kb            12  
                       cudaDeviceGetStreamPriorityRange         0.00%       1.000us         0.00%       1.000us       0.009us     186.000us         0.38%     186.000us       1.603us           0 b           0 b           0 b           0 b           116  
                                aten::_foreach_addcdiv_         0.01%     157.000us         0.01%     202.000us      50.500us     166.000us         0.34%     166.000us      41.500us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     166.000us         0.34%     166.000us      41.500us           0 b           0 b           0 b           0 b             4  
                                         AddmmBackward0         0.01%      97.000us         0.04%     673.000us      84.125us       0.000us         0.00%     131.000us      16.375us           0 b           0 b       5.03 Mb           0 b             8  
                                               aten::mm         0.02%     329.000us         0.03%     471.000us      29.438us     121.000us         0.25%     131.000us       8.188us           0 b           0 b       5.03 Mb       5.03 Mb            16  
