-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     record_param_comms         0.81%      14.155ms         0.82%      14.400ms     327.273us      99.402ms        66.38%     100.732ms       2.289ms           0 b           0 b           0 b           0 b            44  
autograd::engine::evaluate_function: torch::autograd...         0.06%     973.000us         0.21%       3.743ms      38.990us       0.000us         0.00%      99.225ms       1.034ms           0 b         128 b           0 b           0 b            96  
                                       c10d::allreduce_         0.01%     125.000us         0.05%     908.000us     113.500us       0.000us         0.00%      98.642ms      12.330ms           0 b           0 b           0 b           0 b             8  
ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*,...         0.00%       0.000us         0.00%       0.000us       0.000us      97.345ms        65.01%      97.345ms      12.168ms           0 b           0 b           0 b           0 b             8  
                                          ProfilerStep*        13.36%     234.221ms        98.30%        1.724s     861.894ms       0.000us         0.00%      27.528ms      13.764ms           0 b     -16.49 Mb     110.00 Kb      -1.02 Gb             2  
                        DistributedDataParallel.forward         1.64%      28.827ms         5.43%      95.147ms      15.858ms       0.000us         0.00%      18.031ms       3.005ms           0 b           0 b       1.02 Gb    -581.36 Mb             6  
                                           aten::conv2d         0.03%     516.000us         0.54%       9.441ms     157.350us       0.000us         0.00%      10.480ms     174.667us           0 b           0 b     914.24 Mb      21.82 Mb            60  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      37.000us         0.21%       3.608ms     180.400us       0.000us         0.00%       8.411ms     420.550us           0 b           0 b    -307.14 Mb    -394.38 Mb            20  
                             aten::convolution_backward         0.10%       1.690ms         0.19%       3.266ms     163.300us       6.811ms         4.55%       8.411ms     420.550us           0 b           0 b      76.22 Mb      72.97 Mb            20  
